<<<,,,,,
Caffeine 3,,,,,
Relates to: ,Visualizing two variables/ Exercise - Caffeine and batch,,,,
Variables:,Caffeine %,"Caffeine content after extraction, measured in percentages",,,
,Extractor nr.,Number of the machine the coffee was produced on,,,
,Batch nr.,The number of the batch of coffee,,,
,,,,,
Caffeine%,Extractor nr.,Batch nr.,,,
0.0532,1,718,,,
0.0570,2,718,,,
0.1128,3,718,,,
0.0525,1,718,,,
0.0832,2,718,,,
0.1170,3,718,,,
0.0572,1,719,,,
0.0727,2,719,,,
0.1215,3,719,,,
0.0379,1,719,,,
0.0754,2,719,,,
0.1277,3,719,,,
0.0452,1,720,,,
0.0569,2,720,,,
0.1418,3,720,,,
0.0449,1,720,,,
0.0586,2,720,,,
0.1394,3,720,,,
0.0524,1,721,,,
0.0636,2,721,,,
0.1186,3,721,,,
0.0268,1,721,,,
0.0476,2,721,,,
0.1375,3,721,,,
0.0553,1,722,,,
0.0857,2,722,,,
0.1160,3,722,,,
0.0508,1,722,,,
0.0589,2,722,,,
0.1309,3,722,,,
0.0656,1,723,,,
0.0606,2,723,,,
0.1328,3,723,,,
0.0626,1,723,,,
0.0777,2,723,,,
0.1381,3,723,,,
0.0355,1,724,,,
0.0703,2,724,,,
0.1316,3,724,,,
0.0476,1,724,,,
0.0705,2,724,,,
0.1453,3,724,,,
0.0543,1,725,,,
0.0955,2,725,,,
0.1237,3,725,,,
0.0481,1,725,,,
0.0688,2,725,,,
0.1302,3,725,,,
0.0514,1,726,,,
0.0613,2,726,,,
0.1419,3,726,,,
0.0343,1,726,,,
0.0748,2,726,,,
0.1397,3,726,,,
0.0407,1,727,,,
0.0657,2,727,,,
0.1476,3,727,,,
0.0564,1,727,,,
0.0737,2,727,,,
0.1269,3,727,,,
