<<<,,,,
Departments,,,,
Relates to: ,Exercise - Department,,,
Variables:,Department,"The department (A, B or C) that handled the case",,
,Throughput times,"The time it takes the department to finish the case, measured in days",,
,,,,
Department,Throughput times,,,
A,4.21,,,
A,0.19,,,
C,9.88,,,
A,5.11,,,
C,15.99,,,
B,8.03,,,
C,23.18,,,
B,15.30,,,
B,10.59,,,
B,19.65,,,
C,10.51,,,
A,11.40,,,
A,16.24,,,
C,9.16,,,
C,12.14,,,
B,9.06,,,
C,20.77,,,
A,5.19,,,
A,12.91,,,
A,12.36,,,
A,34.24,,,
A,52.24,,,
B,12.24,,,
C,19.41,,,
B,14.37,,,
C,11.00,,,
A,20.78,,,
C,10.93,,,
A,28.01,,,
A,45.26,,,
C,15.57,,,
B,10.09,,,
A,18.55,,,
C,11.45,,,
B,2.40,,,
B,23.64,,,
A,5.56,,,
C,17.75,,,
B,5.89,,,
B,14.44,,,
C,10.29,,,
C,28.79,,,
C,18.46,,,
B,5.36,,,
C,11.13,,,
B,14.51,,,
C,20.05,,,
C,10.18,,,
A,3.36,,,
A,1.63,,,
B,8.84,,,
B,6.78,,,
A,4.21,,,
C,21.05,,,
B,9.42,,,
A,23.87,,,
A,15.95,,,
B,8.19,,,
A,4.40,,,
A,9.82,,,
B,6.10,,,
C,22.93,,,
B,11.34,,,
C,46.27,,,
B,10.25,,,
A,27.52,,,
A,7.30,,,
A,32.31,,,
C,9.52,,,
C,21.59,,,
A,6.52,,,
A,15.72,,,
B,0.11,,,
C,8.73,,,
B,10.15,,,
C,8.17,,,
A,7.92,,,
B,25.82,,,
B,2.10,,,
A,14.85,,,
B,10.22,,,
A,5.89,,,
A,67.65,,,
B,12.09,,,
B,4.92,,,
A,64.84,,,
B,31.89,,,
A,0.84,,,
A,18.74,,,
C,131.60,,,
C,15.02,,,
C,16.37,,,
C,22.82,,,
C,19.09,,,
C,20.17,,,
C,18.44,,,
C,19.07,,,
A,20.86,,,
C,10.90,,,
C,25.65,,,
B,14.26,,,
B,9.60,,,
A,4.47,,,
A,33.66,,,
B,18.40,,,
B,17.84,,,
A,7.68,,,
C,13.49,,,
C,10.76,,,
B,9.17,,,
C,17.37,,,
C,16.77,,,
C,34.27,,,
A,25.29,,,
B,5.29,,,
B,4.96,,,
C,7.76,,,
C,17.45,,,
C,23.90,,,
A,10.65,,,
C,9.79,,,
B,2.13,,,
B,5.46,,,
C,27.55,,,
C,14.46,,,
C,5.13,,,
A,3.10,,,
B,0.88,,,
A,5.54,,,
C,25.96,,,
C,10.59,,,
C,13.05,,,
C,21.87,,,
A,45.43,,,
A,3.74,,,
B,15.97,,,
A,29.22,,,
C,8.16,,,
B,18.32,,,
C,10.61,,,
C,14.69,,,
A,9.46,,,
A,25.95,,,
C,6.74,,,
B,22.39,,,
A,22.35,,,
C,12.30,,,
A,21.99,,,
C,20.03,,,
B,7.37,,,
C,16.42,,,
C,21.93,,,
A,14.17,,,
B,16.09,,,
A,11.82,,,
C,9.98,,,
A,17.73,,,
B,22.51,,,
C,14.15,,,
C,12.81,,,
B,10.54,,,
C,9.17,,,
A,11.52,,,
C,7.89,,,
C,13.45,,,
C,23.15,,,
B,14.38,,,
C,14.08,,,
C,10.57,,,
B,10.83,,,
C,14.31,,,
B,11.82,,,
C,13.07,,,
B,22.12,,,
C,20.51,,,
C,19.05,,,
C,6.88,,,
B,18.48,,,
C,12.41,,,
B,2.88,,,
A,8.59,,,
C,8.75,,,
A,3.54,,,
C,18.03,,,
C,24.68,,,
C,150.37,,,
B,8.47,,,
C,20.53,,,
A,8.10,,,
B,5.07,,,
A,16.49,,,
A,10.13,,,
A,15.21,,,
C,13.79,,,
A,45.48,,,
C,58.59,,,
A,5.89,,,
A,3.81,,,
C,4.62,,,
C,8.05,,,
A,63.51,,,
C,9.66,,,
C,20.57,,,
A,15.35,,,
C,16.41,,,
B,5.62,,,
C,12.84,,,
B,6.54,,,
B,0.32,,,
C,7.66,,,
C,10.62,,,
A,3.66,,,
C,43.55,,,
B,12.21,,,
C,34.29,,,
A,5.50,,,
B,9.93,,,
B,10.70,,,
A,6.05,,,
B,5.38,,,
A,20.54,,,
A,8.80,,,
C,15.40,,,
B,8.70,,,
B,6.40,,,
B,5.28,,,
A,9.99,,,
C,22.55,,,
B,8.37,,,
A,4.51,,,
B,19.98,,,
A,7.22,,,
B,5.24,,,
B,7.85,,,
B,18.18,,,
A,12.07,,,
C,8.60,,,
C,109.96,,,
B,12.99,,,
