<<<,,,,,,,
Investigation Time,,,,,,,
Variables:,Case number,Unique number assigned to each case,,,,,
,Sender-id,ID of customer,,,,,
,Type,Type of reclaim,,,,,
,Total time,Total time (in days),,,,,
,Time open,Total time at own organisation (in days),,,,,
,Time pending,Total time at counter party (in days),,,,,
,Time closed,Total time closed (in days),,,,,
,Number of pending iterations,Number of iteration with counter party,,,,,
,,,,,,,
Case number,Sender-id,Type,Total time,Time open,Time pending,Time closed,Number of pending iterations
GR0400250011,BSABESBB,AN,29.73,20.80,8.93,0.00,3
GR0400250015,BDCCANCU,OX,6.83,5.54,1.29,0.00,2
GR0400250022,CITIUS33,NU,6.86,6.86,0.00,0.00,0
GR0400250023,BOFMCAM2,NU,6.93,4.77,2.16,0.00,1
GR0400250024,BFICCUHH,OX,19.81,0.28,19.52,0.00,4
GR0400250025,PNCCUS33,AN,5.70,5.70,0.00,0.00,0
GR0400250028,BCMAMAMC,AN,7.63,6.34,1.29,0.00,1
GR0400250032,ROYCCAT2,NU,6.84,6.84,0.00,0.00,0
GR0400250035,BNMXMXMM,OX,13.55,1.60,11.94,0.00,2
GR0400250044,ROYCCAT2,NU,4.70,4.70,0.00,0.00,0
GR0400250056,IRVTUS3N,OX,34.45,13.65,18.09,2.71,8
GR0400250057,CHASUS33,OX,6.48,6.16,0.33,0.00,1
GR0400250059,CHASUS33,NU,20.55,7.77,12.77,0.00,6
GR0400250061,WFBIUS6S,NO,20.56,5.89,14.67,0.00,4
GR0400250062,CITIUS33,NO,6.62,6.62,0.00,0.00,0
GR0400250063,WFBIUS6S,NU,7.58,6.75,0.00,0.83,0
GR0400250064,BKCHHKHH,OX,13.24,2.59,3.97,6.69,2
GR0400250073,BSAMLKLX,OX,59.06,6.22,52.84,0.00,7
GR0400250074,BSAMLKLX,KK,0.95,0.95,0.00,0.00,0
GR0400250075,BSAMLKLX,KK,0.95,0.95,0.00,0.00,0
GR0400250077,SCBLNPKA,OX,6.03,0.34,5.69,0.00,3
GR0400250078,SCBLNPKA,OX,6.12,2.00,4.12,0.00,3
GR0400250083,PALSPS22,OX,4.67,1.89,1.98,0.79,1
GR0400250084,FIRBILIT,BD,0.84,0.84,0.00,0.00,0
GR0400250086,BNIAIDJA,KK,0.24,0.24,0.00,0.00,0
GR0400250087,BNIAIDJA,KK,5.33,5.26,0.00,0.07,0
GR0400250088,DEUTSGSG,OX,5.43,5.43,0.00,0.00,0
GR0400250089,CTBAAU2S,DD,4.19,0.23,3.96,0.00,2
GR0400250091,HLBBMYKL,OX,18.17,2.63,15.55,0.00,7
GR0400250092,POPUESMM,OX,24.08,9.27,0.00,14.81,0
GR0400250093,CITIGB2L,DD,0.17,0.17,0.00,0.00,0
GR0400250095,BKCHCNBJ300,OX,10.27,3.01,7.25,0.00,3
GR0400250157,BKTRUS33,DD,0.00,0.00,0.00,0.00,0
GR0400250201,IDIBINBBTPR,BV,5.26,5.26,0.00,0.00,0
GR0400250204,CDCFFRPP,OX,4.11,3.74,0.00,0.36,0
GR0400250206,BOFAUS6SSFX,WX,11.30,3.65,0.00,7.65,0
GR0400250209,SBININBBFXD,OX,28.00,3.41,24.59,0.00,6
GR0400250211,BKCHCNBJ300,OX,20.19,1.09,19.10,0.00,5
GR0400250230,ALLAINBBMAS,DD,0.00,0.00,0.00,0.00,0
GR0400250233,BKCHCNBJ600,OX,33.05,0.97,32.09,0.00,8
GR0400250256,BSCHESMM,KK,0.04,0.04,0.00,0.00,0
GR0400250257,GTBKINBB,BC,3.00,3.00,0.00,0.00,0
GR0400250258,VUWBDEHH,NO,0.16,0.16,0.00,0.00,0
GR0400250263,BRLADE22,KK,0.02,0.02,0.00,0.00,0
GR0400250264,BRLADE22,KK,40.03,1.03,0.81,38.18,1
