<<<,,,,
Length of stay,,,,
Relates to:,Exercise - Length of stay,,,
Variables:,Length of stay,"The duration of stay of a patient, measured in days",,
,,,,
Length of stay ,,,,
8,,,,
11,,,,
6,,,,
11,,,,
14,,,,
11,,,,
10,,,,
13,,,,
9,,,,
9,,,,
6,,,,
9,,,,
7,,,,
7,,,,
10,,,,
9,,,,
8,,,,
6,,,,
7,,,,
13,,,,
16,,,,
10,,,,
9,,,,
11,,,,
12,,,,
6,,,,
14,,,,
9,,,,
11,,,,
11,,,,
10,,,,
9,,,,
12,,,,
13,,,,
10,,,,
9,,,,
12,,,,
10,,,,
11,,,,
10,,,,
8,,,,
12,,,,
7,,,,
7,,,,
13,,,,
9,,,,
10,,,,
13,,,,
7,,,,
8,,,,
7,,,,
8,,,,
9,,,,
7,,,,
10,,,,
8,,,,
12,,,,
10,,,,
15,,,,
10,,,,
6,,,,
6,,,,
12,,,,
15,,,,
11,,,,
15,,,,
10,,,,
11,,,,
11,,,,
11,,,,
14,,,,
6,,,,
8,,,,
18,,,,
15,,,,
8,,,,
7,,,,
9,,,,
7,,,,
15,,,,
12,,,,
8,,,,
11,,,,
11,,,,
12,,,,
7,,,,
8,,,,
9,,,,
13,,,,
19,,,,
10,,,,
9,,,,
13,,,,
7,,,,
12,,,,
14,,,,
11,,,,
9,,,,
8,,,,
10,,,,
14,,,,
13,,,,
19,,,,
11,,,,
10,,,,
12,,,,
12,,,,
10,,,,
10,,,,
8,,,,
10,,,,
8,,,,
15,,,,
10,,,,
16,,,,
10,,,,
21,,,,
11,,,,
16,,,,
14,,,,
6,,,,
15,,,,
13,,,,
8,,,,
11,,,,
10,,,,
9,,,,
9,,,,
12,,,,
9,,,,
9,,,,
22,,,,
7,,,,
7,,,,
9,,,,
13,,,,
13,,,,
12,,,,
14,,,,
9,,,,
7,,,,
10,,,,
10,,,,
14,,,,
11,,,,
9,,,,
15,,,,
13,,,,
11,,,,
11,,,,
6,,,,
15,,,,
11,,,,
21,,,,
15,,,,
6,,,,
9,,,,
11,,,,
11,,,,
10,,,,
12,,,,
8,,,,
11,,,,
8,,,,
10,,,,
7,,,,
10,,,,
10,,,,
7,,,,
6,,,,
13,,,,
10,,,,
7,,,,
10,,,,
10,,,,
14,,,,
7,,,,
10,,,,
10,,,,
16,,,,
12,,,,
9,,,,
9,,,,
15,,,,
16,,,,
6,,,,
10,,,,
9,,,,
10,,,,
22,,,,
9,,,,
13,,,,
13,,,,
10,,,,
11,,,,
10,,,,
11,,,,
12,,,,
11,,,,
8,,,,
14,,,,
9,,,,
16,,,,
11,,,,
12,,,,
15,,,,
10,,,,
7,,,,
6,,,,
12,,,,
10,,,,
16,,,,
11,,,,
8,,,,
10,,,,
11,,,,
7,,,,
9,,,,
10,,,,
13,,,,
12,,,,
11,,,,
15,,,,
11,,,,
10,,,,
19,,,,
13,,,,
10,,,,
16,,,,
10,,,,
13,,,,
14,,,,
12,,,,
10,,,,
9,,,,
6,,,,
8,,,,
12,,,,
8,,,,
15,,,,
16,,,,
12,,,,
11,,,,
11,,,,
12,,,,
15,,,,
7,,,,
10,,,,
13,,,,
8,,,,
11,,,,
7,,,,
6,,,,
10,,,,
9,,,,
9,,,,
10,,,,
11,,,,
12,,,,
9,,,,
11,,,,
11,,,,
7,,,,
9,,,,
13,,,,
6,,,,
7,,,,
6,,,,
9,,,,
6,,,,
6,,,,
15,,,,
6,,,,
8,,,,
6,,,,
11,,,,
11,,,,
13,,,,
10,,,,
6,,,,
10,,,,
10,,,,
10,,,,
10,,,,
11,,,,
9,,,,
7,,,,
7,,,,
11,,,,
7,,,,
7,,,,
9,,,,
13,,,,
7,,,,
12,,,,
8,,,,
18,,,,
10,,,,
15,,,,
11,,,,
10,,,,
11,,,,
15,,,,
14,,,,
11,,,,
16,,,,
12,,,,
9,,,,
16,,,,
9,,,,
11,,,,
9,,,,
9,,,,
9,,,,
13,,,,
10,,,,
14,,,,
6,,,,
10,,,,
10,,,,
12,,,,
