<<<,,,,,,
Picking,,,,,,
Relates to:,Exercise - Picking,,,,,
Variables,Order: ,Order number,,,,
,Items:,The number of items per order.,,,,
,Pick-time: ,"Processing time for picking all items in an order, measured in minutes.",,,,
,,,,,,
Order,Items,Pick-time,,,,
1,18,11.6,,,,
2,11,9.5,,,,
3,7,6,,,,
4,7,4.7,,,,
5,22,15,,,,
6,5,7.1,,,,
7,9,5.4,,,,
8,5,9.3,,,,
9,11,9,,,,
10,24,17.6,,,,
11,12,10.9,,,,
12,8,8.8,,,,
13,15,12.3,,,,
14,20,16.6,,,,
15,7,8.9,,,,
16,21,17.2,,,,
17,20,15,,,,
18,13,10.6,,,,
19,22,13.2,,,,
20,10,10.1,,,,
21,19,10.8,,,,
22,9,10.2,,,,
23,10,9.9,,,,
24,2,6.1,,,,
25,5,3.3,,,,
26,2,5.1,,,,
27,4,7,,,,
28,24,18.5,,,,
29,3,7.1,,,,
30,2,3.5,,,,
