<<<,,,,
Productivity,,,,
Relates to:,Exercise - Productivity,,,
Variables:,Shift,"Shift 1 is a morning shift, shift 2 is an evening shift and shift 3 is a night shift",,
,Numbers in columns,Productivity measured in kilograms of produced goods,,
,,,,
Shift 1,Shift 2,Shift 3,,
348,348,352,,
319,293,342,,
336,315,359,,
342,327,350,,
314,326,201,,
316,292,333,,
301,313,345,,
316,336,341,,
314,327,339,,
311,301,189,,
325,322,303,,
312,302,331,,
335,312,304,,
336,292,352,,
314,335,336,,
327,320,339,,
329,339,311,,
322,300,341,,
312,335,332,,
310,325,327,,
310,326,342,,
305,332,324,,
329,331,326,,
319,313,294,,
311,323,338,,
334,324,334,,
290,336,340,,
309,283,340,,
307,315,318,,
311,332,327,,
