<<<,,,,
,,,,
Student,,,,
Variables:,Math grade,Final grade for mathematics at high school,,
,Pass?: ,Yes' if student passes the first year at university; 'No' otherwise,,
,,,,
Student,Math grade,Pass?,,
1,7,No,,
2,7,Yes,,
3,*,No,,
4,8,No,,
5,8,Yes,,
6,9,No,,
7,9,No,,
8,5,No,,
9,7,No,,
10,9,Yes,,
11,8,No,,
12,10,Yes,,
13,10,Yes,,
14,*,No,,
15,6,No,,
16,9,Yes,,
17,9,Yes,,
18,6,No,,
19,*,No,,
20,8,Yes,,
21,8,No,,
22,7,No,,
23,7,No,,
24,*,No,,
25,6,No,,
26,6,No,,
27,10,Yes,,
28,*,No,,
29,8,Yes,,
30,9,Yes,,
