<<<,,,,
THT,,,,
Relates to:,Probability plot,,,
,Empirical CDF,,,
Variables,THT,"The total time it took to handle a phone call, measures in seconds.",,
,Training,Whether or not the person handling a phone call received training,,
Source:,"“Quality Quandaries: Increasing the First Time Fix Rate in a Customer Contact Center” (2015). Quality Engineering 27(3) pp. 393-400. By: I.M. Zwetsloot, M. Buitenhuis, B.A. Lameijer, R.J.M.M. Does  ",,,
,,,,
THT ,Training,,,
332,No,,,
778,No,,,
361,No,,,
794,No,,,
231,No,,,
375,No,,,
841,No,,,
596,No,,,
124,No,,,
224,No,,,
138,No,,,
317,No,,,
121,No,,,
506,No,,,
412,No,,,
163,No,,,
241,No,,,
910,No,,,
411,No,,,
448,No,,,
538,No,,,
211,No,,,
212,No,,,
160,No,,,
613,No,,,
142,No,,,
155,No,,,
173,No,,,
116,No,,,
428,No,,,
197,No,,,
96,No,,,
246,No,,,
335,No,,,
141,No,,,
191,Yes,,,
351,Yes,,,
213,Yes,,,
113,Yes,,,
140,Yes,,,
160,Yes,,,
206,Yes,,,
119,Yes,,,
74,Yes,,,
222,Yes,,,
108,Yes,,,
270,Yes,,,
61,Yes,,,
78,Yes,,,
270,Yes,,,
195,Yes,,,
211,Yes,,,
134,Yes,,,
71,Yes,,,
197,Yes,,,
228,Yes,,,
